f0,Identifier:remoteCandidateId
f1,ArrayExpression:Entry
f2,AssignmentPattern:login
f3,NewExpression:cssText
f4,BinaryExpression:IntersectionObserverEntry
f5,Identifier:getShaderSource
f6,IfStatement:detach
f7,IfStatement:blocked
f8,UnaryExpression:selectedIndex
f9,LogicalExpression:imageWidth
f10,ReturnStatement:ReadableStreamBYOBReader
f11,Property:requestFullscreen
f12,NewExpression:tooltip
f13,MethodDefinition:size
f14,VariableDeclarator:keyText
f15,MemberExpression:serviceWorkerRegistration
f16,MemberExpression:networkState
f17,Literal:crypto
f18,SwitchCase:statusCode
f19,CallExpression:mozCancelFullScreen
f20,ConditionalExpression:submit
f21,ReturnStatement:blocked
f22,FunctionDeclaration:exportKey
f23,SwitchCase:webglcontextrestored
f24,ConditionalExpression:dragend
f25,AssignmentExpression:tooLong
f26,Identifier:globalAlpha
f27,IfStatement:DOMParser
f28,Identifier:gbk
f29,ArrayExpression:touchend
f30,VariableDeclarator:ondataavailable
f31,ConditionalExpression:commit
f32,IfStatement:results
f33,AssignmentExpression:waiting
f34,SwitchStatement:ext
f35,ReturnStatement:contextmenu
f36,Property:sourceBuffer
f37,VariableDeclarator:iterations
f38,MemberExpression:selectionchange
f39,ArrayExpression:continue
f40,Identifier:frontFace
f41,SwitchCase:false
f42,Literal:isFramebuffer
f43,ConditionalExpression:userAgent
f44,BinaryExpression:click
f45,MemberExpression:cancelScheduledValues
f46,UnaryExpression:over
f47,AssignmentExpression:screenX
f48,ReturnStatement:body
f49,Property:voice
f50,ArrayExpression:createOscillator
f51,SwitchCase:element
f52,MemberExpression:pointerout
f53,BinaryExpression:pt
f54,Literal:gfx
f55,AssignmentExpression:span
f56,ReturnStatement:filter
f57,VariableDeclarator:MediaSource
f58,ReturnStatement:ImageCapture
f59,ArrayExpression:CSSSupportsRule
f60,ReturnStatement:submit
f61,Literal:canvas
f62,Identifier:requestIdleCallback
f63,ConditionalExpression:Object
f64,ArrayExpression:create
f65,CallExpression:specularConstant
f66,ArrayExpression:dateTime
f67,NewExpression:highWaterMark
f68,UnaryExpression:BiquadFilterNode
f69,MethodDefinition:valueOf
f70,Literal:keepalive
f71,ArrayExpression:createShader
f72,Identifier:HTMLTableColElement
f73,NewExpression:require
f74,BinaryExpression:timestamps
f75,NewExpression:span
f76,ReturnStatement:invalid
f77,ArrayExpression:pagehide
f78,Property:importScripts
f79,FunctionDeclaration:currentTarget
f80,FunctionExpression:sdp
f81,ArrayExpression:returnValue
f82,LogicalExpression:colspan
f83,ConditionalExpression:closePath
f84,ConditionalExpression:lineNumber
f85,MemberExpression:self
f86,MemberExpression:regions
f87,ArrayExpression:DataView
f88,Literal:SECURITY_ERROR
f89,Literal:PushSubscription
f90,AssignmentExpression:replaceWith
f91,LogicalExpression:Int32Array
f92,AssignmentExpression:relay
f93,Literal:activeTexture
f94,VariableDeclarator:enable
f95,ArrayExpression:onactivate
f96,MemberExpression:setPeriodicWave
f97,AssignmentExpression:Event
f98,ArrayExpression:debit
f99,ReturnStatement:MSFullscreenChange
f100,Literal:reject
f101,Literal:inputMode
f102,Identifier:animation
f103,MemberExpression:requestData
f104,Literal:rate
f105,ArrowFunctionExpression:point
f106,NewExpression:foo
f107,Literal:senderId
f108,Property:tBodies
f109,MemberExpression:hasChildNodes
f110,Literal:clearDepth
f111,ArrayExpression:hspace
f112,MemberExpression:documentElement
f113,FunctionDeclaration:requestFrame
f114,Identifier:CSSKeyframesRule
f115,FunctionDeclaration:observer
f116,MemberExpression:caller
f117,Identifier:SVGAltGlyphDefElement
f118,ArrayExpression:reversed
f119,Literal:minLength
f120,Identifier:frameBorder
f121,ConditionalExpression:ended
f122,LogicalExpression:touchstart
f123,Literal:offsetNode
f124,Property:kind
f125,BinaryExpression:root
f126,FunctionExpression:keydown
f127,BinaryExpression:canplay
f128,FunctionDeclaration:innerHTML
f129,CallExpression:callback
f130,Literal:insertCell
f131,Identifier:MSGesture
f132,Identifier:ServiceWorkerClient
f133,BinaryExpression:PluginArray
f134,MemberExpression:trackDefaults
f135,ConditionalExpression:urls
f136,Identifier:onratechange
f137,SwitchCase:querySelectorAll
f138,BinaryExpression:msFullscreenElement
f139,VariableDeclarator:pan
f140,MemberExpression:openRequest
f141,VariableDeclarator:mul
f142,Identifier:scrollamount
f143,VariableDeclarator:getBufferSubData
f144,Literal:ownerDocument
f145,Literal:SVGMarkerElement
f146,ArrayExpression:long
f147,LogicalExpression:form
f148,Literal:SpeechGrammarList
f149,FunctionDeclaration:login
f150,Identifier:createVertexArrayOES
f151,BinaryExpression:shippingAddress
f152,Property:Web
f153,FunctionExpression:always
f154,Identifier:msMatchesSelector
f155,MemberExpression:exponentialRampToValueAtTime
f156,ReturnStatement:notification
f157,TemplateElement:send
f158,Property:onafterprint
f159,CallExpression:readOnly
f160,WhileStatement:currentNode
f161,AssignmentExpression:intl
f162,Property:wifi
f163,Identifier:MediaStreamTrack
f164,BinaryExpression:resize
f165,Identifier:patternUnits
f166,ConditionalExpression:acceleration
f167,BinaryExpression:validationURL
f168,MemberExpression:defaultSelected
f169,NewExpression:root
f170,Property:xMinYMin
f171,ForInStatement:record
f172,UnaryExpression:viewport
f173,VariableDeclarator:unwatch
f174,VariableDeclarator:MessageEvent
f175,Identifier:InvalidCharacterError
f176,MemberExpression:RTCIceTransport
f177,FunctionExpression:clearRect
f178,Property:addRule
f179,FunctionDeclaration:css
f180,Literal:normal
f181,WhileStatement:callback
f182,UnaryExpression:extend
f183,NewExpression:activate
f184,CallExpression:lower
f185,UnaryExpression:showModal
f186,IfStatement:clear
f187,NewExpression:empty
f188,FunctionDeclaration:match
f189,VariableDeclarator:keyboard
f190,AssignmentExpression:onclose
f191,VariableDeclarator:Name
f192,ConditionalExpression:altitude
f193,Property:maskContentUnits
f194,ConditionalExpression:mozSlice
f195,ReturnStatement:middle
f196,Literal:none
f197,CallExpression:codec
f198,AssignmentExpression:toolbar
f199,IfStatement:matrix3d
f200,ReturnStatement:spellcheck
f201,VariableDeclarator:rowspan
f202,ArrayExpression:direction
f203,AssignmentExpression:this
f204,Identifier:createRadialGradient
f205,LogicalExpression:target
f206,Literal:importKey
f207,VariableDeclarator:stalled
f208,SequenceExpression:Rect
f209,FunctionDeclaration:which
f210,Literal:regionAnchorX
f211,Identifier:in1
f212,ArrayExpression:presentation
f213,WhileStatement:instanceof
f214,MemberExpression:read
f215,CallExpression:InstallTrigger
f216,VariableDeclarator:createTextNode
f217,UpdateExpression:element
f218,MemberExpression:current
f219,ConditionalExpression:deg
f220,BinaryExpression:innerHTML
f221,Literal:selectNode
f222,NewExpression:onmouseup
f223,SwitchStatement:save
f224,Literal:CSSRuleList
f225,SequenceExpression:playing
f226,AssignmentExpression:time
f227,MemberExpression:drawArrays
f228,ArrayExpression:availWidth
f229,CallExpression:reserve
f230,CallExpression:IN
f231,SwitchCase:notification
f232,CallExpression:newVersion
f233,CallExpression:alpha
f234,LogicalExpression:track
f235,Identifier:eventHandler
f236,Property:unwatch
f237,MemberExpression:mozWriteAudio
f238,CallExpression:createTransformFeedback
f239,NewExpression:requestStart
f240,VariableDeclarator:appendChild
f241,SwitchStatement:method
f242,Property:onplaying
f243,ReturnStatement:effect
f244,AssignmentPattern:device
f245,Property:uniform4iv
f246,FunctionExpression:readyState
f247,AssignmentExpression:FileError
f248,Identifier:strokeStyle
f249,ConditionalExpression:pattern
f250,ConditionalExpression:role
f251,MemberExpression:ic
f252,MemberExpression:ATTRIBUTE_NODE
f253,MemberExpression:focusin
f254,CallExpression:toolbar
f255,Identifier:groupCollapsed
f256,FunctionDeclaration:properties
f257,Identifier:marginHeight
f258,CallExpression:clip
f259,Property:defaultStatus
f260,ReturnStatement:touchstart
f261,Literal:onmessage
f262,AssignmentExpression:InvalidCharacterError
f263,NewExpression:xml
f264,BinaryExpression:radio
f265,FunctionExpression:storage
f266,FunctionExpression:rootNode
f267,ArrayExpression:mouseout
f268,CallExpression:alphabetic
f269,SequenceExpression:timeout
f270,SwitchCase:characterData
f271,Property:MIDIConnectionEvent
f272,AssignmentExpression:reserve
f273,BinaryExpression:PerformanceResourceTiming
f274,SwitchCase:PERCENTAGE
f275,ConditionalExpression:integer
f276,Identifier:setActionHandler
f277,Literal:toBlob
f278,Identifier:toJson
f279,Identifier:stencilOp
f280,MemberExpression:function
f281,BinaryExpression:readValue
f282,AssignmentExpression:off
f283,FunctionDeclaration:address
f284,VariableDeclarator:ontouchstart
f285,SwitchStatement:attributeName
f286,ConditionalExpression:Client
f287,Identifier:idle
f288,FunctionDeclaration:shape
f289,FunctionDeclaration:isRemote
f290,Literal:releaseInterface
f291,Identifier:HTMLDataElement
f292,SequenceExpression:imageWidth
f293,Identifier:PushManager
f294,MemberExpression:unregister
f295,Identifier:onseeked
f296,AssignmentPattern:element
f297,ArrayExpression:animationiteration
f298,CallExpression:extend
f299,AssignmentExpression:isEnabled
f300,ForStatement:offset
f301,CallExpression:online
f302,FunctionExpression:m41
f303,MemberExpression:m31
f304,MemberExpression:PERSISTENT
f305,Property:name
f306,SwitchCase:dragstart
f307,Literal:removeAsync
f308,ArrayExpression:delete
f309,VariableDeclarator:drawArrays
f310,FunctionExpression:copy
f311,SwitchCase:contentEditable
f312,Literal:VideoTrack
f313,FunctionDeclaration:suffixes
f314,FunctionExpression:compareDocumentPosition
f315,Identifier:getUniformBlockIndex
f316,CallExpression:submit
f317,VariableDeclarator:identifiedTouch
f318,MemberExpression:high
f319,BinaryExpression:middle
f320,MemberExpression:magnify
f321,Property:currentScale
f322,FunctionDeclaration:as
f323,FunctionExpression:pt
f324,Identifier:allpass
f325,AssignmentExpression:effect
f326,NewExpression:writer
f327,BinaryExpression:lineWidth
f328,CallExpression:PopStateEvent
f329,CallExpression:user
f330,VariableDeclarator:keyIdentifier
f331,BinaryExpression:append
f332,LogicalExpression:right
f333,LogicalExpression:cancelBubble
f334,Literal:embed
f335,ConditionalExpression:systemId
f336,VariableDeclarator:rotation
f337,FunctionDeclaration:read
f338,CallExpression:Notification
f339,MemberExpression:webcrypto
f340,AssignmentExpression:getAttribute
f341,CallExpression:CSSMatrix
f342,ForInStatement:call
f343,FunctionDeclaration:length
f344,LogicalExpression:codeType
f345,MemberExpression:port1
f346,Property:SVGGradientElement
f347,Literal:parentNode
f348,LogicalExpression:all
f349,Literal:mediaSession
f350,BinaryExpression:uri
f351,NewExpression:preload
f352,ConditionalExpression:expires
f353,LogicalExpression:lineCap
f354,ConditionalExpression:pseudoElement
f355,AssignmentExpression:counter
f356,LogicalExpression:Request
f357,Literal:oncanplay
f358,Property:mousedown
f359,Literal:localName
f360,NewExpression:deviceorientation
f361,VariableDeclarator:discover
f362,Property:IDBEnvironment
f363,Identifier:getElementsByTagNameNS
f364,LogicalExpression:clearData
f365,FunctionDeclaration:round
f366,IfStatement:returnValue
f367,NewExpression:publicId
f368,UnaryExpression:timeStamp
f369,NewExpression:allowfullscreen
f370,ConditionalExpression:memory
f371,ForInStatement:transform
f372,Property:BiquadFilterNode
f373,MemberExpression:files
f374,Literal:lowshelf
f375,ArrayExpression:formmethod
f376,SequenceExpression:duplicate
f377,VariableDeclarator:availTop
f378,SwitchCase:languages
f379,VariableDeclarator:naturalWidth
f380,CallExpression:uniform
f381,Identifier:DOMContentLoaded
f382,AssignmentExpression:readText
f383,FunctionExpression:open
f384,Literal:loaded
f385,SwitchCase:print
f386,BinaryExpression:selectorText
f387,ArrayExpression:takeRecords
f388,CallExpression:mediasource
f389,Identifier:gfx
f390,VariableDeclarator:TYPE_BACK_FORWARD
f391,MemberExpression:tBodies
f392,CallExpression:bezierCurveTo
f393,ConditionalExpression:onmousemove
f394,Literal:samplerParameteri
f395,FunctionDeclaration:String
f396,Identifier:HTMLMeterElement
f397,Literal:HTMLImageElement
f398,Property:link
f399,Literal:forEach
f400,FunctionExpression:upgrade
f401,ConditionalExpression:scheme
f402,Literal:uniformMatrix2x4fv
f403,VariableDeclarator:marginWidth
f404,VariableDeclarator:closed
f405,BinaryExpression:decode
f406,Property:Headers
f407,Identifier:mozfullscreenerror
f408,CallExpression:JSON
f409,Identifier:any
f410,MemberExpression:BeforeInputEvent
f411,Property:mediaGroup
f412,Identifier:include
f413,CallExpression:rad
f414,Identifier:pname
f415,BinaryExpression:onresize
f416,Literal:Path2D
f417,CallExpression:keyIdentifier
f418,IfStatement:opener
f419,Literal:renderedBuffer
f420,Property:drawElementsInstanced
f421,BinaryExpression:windowState
f422,Identifier:Index
f423,ArrayExpression:createRenderbuffer
f424,Literal:uniform1uiv
f425,ConditionalExpression:mark
f426,SwitchCase:newName
f427,Identifier:tracker
f428,LogicalExpression:configuration
f429,AssignmentExpression:when
f430,LogicalExpression:client
f431,ConditionalExpression:keyCode
f432,NewExpression:setInterval
f433,SwitchStatement:encoding
f434,MethodDefinition:Image
f435,Literal:contentType
f436,AssignmentExpression:SHOW_ALL
f437,UnaryExpression:down
f438,AssignmentExpression:manifest
f439,Literal:supported
f440,Literal:currentStyle
f441,VariableDeclarator:source
f442,Identifier:getRootNode
f443,Identifier:WritableStreamDefaultController
f444,VariableDeclarator:multipart
f445,VariableDeclarator:cullFace
f446,ConditionalExpression:payments
f447,SwitchCase:namespaceURI
f448,Property:vertexAttrib2fv
f449,ReturnStatement:OperationError
f450,Property:offsetleft
f451,Literal:pressure
f452,FunctionDeclaration:execCommand
f453,Property:DATA_ERR
f454,Identifier:createLinearGradient
f455,VariableDeclarator:worker
f456,CallExpression:anchors
f457,CallExpression:opened
f458,ArrayExpression:CryptoOperation
f459,AssignmentExpression:scrollMaxY
f460,Identifier:slope
f461,SequenceExpression:offline
f462,Literal:Uint8ClampedArray
f463,VariableDeclarator:PBKDF2
f464,UnaryExpression:span
f465,FunctionDeclaration:status
f466,Property:go
f467,Property:dischargingtimechange
f468,NewExpression:features
f469,MemberExpression:wmin
f470,FunctionExpression:Index
f471,FunctionDeclaration:argument
f472,FunctionDeclaration:flush
f473,Literal:newItem
f474,SequenceExpression:total
f475,Literal:interval
f476,UnaryExpression:application
f477,UnaryExpression:strokeStyle
f478,SwitchCase:cursor
f479,Property:ended
f480,MethodDefinition:cache
f481,UnaryExpression:DataTransfer
f482,ArrayExpression:SharedArrayBuffer
f483,CallExpression:uniform1iv
f484,UnaryExpression:longitude
f485,AssignmentExpression:outputs
f486,CallExpression:setUserData
f487,AssignmentExpression:NavigatorGeolocation
f488,ArrayExpression:onupdate
f489,Literal:setValueAtTime
f490,ArrayExpression:setRangeText
f491,AssignmentExpression:loaded
f492,FunctionExpression:composed
f493,FunctionDeclaration:containerType
f494,ReturnStatement:pressure
f495,VariableDeclarator:getElementsByClassName
f496,LogicalExpression:areas
f497,CallExpression:Crypto
f498,MemberExpression:addSourceBuffer
f499,AssignmentExpression:in
f500,Literal:spreadMethod
f501,MemberExpression:beforeunload
f502,MemberExpression:highWaterMark
f503,MemberExpression:this
f504,LogicalExpression:ctx
f505,FunctionExpression:standalone
f506,BinaryExpression:getExtension
f507,MethodDefinition:pressure
f508,BinaryExpression:apply
f509,LogicalExpression:autofocus
f510,Property:doNotTrack
f511,CallExpression:rawId
f512,Property:stencilFunc
f513,FunctionExpression:getBBox
f514,NewExpression:line
f515,IfStatement:languages
f516,MemberExpression:currentEvent
f517,AssignmentExpression:pseudoElement
f518,ArrayExpression:versionchange
f519,ReturnStatement:oMatchesSelector
f520,IfStatement:queryInfo
f521,VariableDeclarator:nodeValue
f522,FunctionExpression:videoWidth
f523,MemberExpression:HTMLTableCaptionElement
f524,AssignmentExpression:continuous
f525,SequenceExpression:left
f526,Property:FILTER_SKIP
f527,VariableDeclarator:evaluate
f528,ArrayExpression:battery
f529,BinaryExpression:errorCallback
f530,ReturnStatement:add
f531,ConditionalExpression:touchleave
f532,Identifier:confirm
f533,VariableDeclarator:webkitMatchesSelector
f534,MemberExpression:ServiceWorkerClient
f535,Identifier:enableHighAccuracy
f536,Property:TimeRanges
f537,MemberExpression:URL_MISMATCH_ERR
f538,ArrayExpression:linkColor
f539,Property:ImageCapture
f540,LogicalExpression:animate
f541,VariableDeclarator:idl
f542,Property:depthRange
f543,BinaryExpression:HTMLObjectElement
f544,Identifier:EventInit
f545,LogicalExpression:serviceWorker
f546,IfStatement:CM
f547,ReturnStatement:extensions
f548,AssignmentExpression:FLOAT
f549,IfStatement:isBuffer
f550,SwitchCase:muted
f551,Identifier:VERTICAL_AXIS
f552,Literal:versionchange
f553,BinaryExpression:isSync
f554,Identifier:setStyles
f555,Literal:getNamedItemNS
f556,MemberExpression:matches
f557,BinaryExpression:newItem
f558,Property:dilate
f559,ArrayExpression:frozen
f560,CallExpression:scrollamount
f561,BinaryExpression:scoped
f562,MemberExpression:HTMLFrameSetElement
f563,SequenceExpression:find
f564,Identifier:unloadEventEnd
f565,ReturnStatement:width
f566,Identifier:EXS
f567,BinaryExpression:contentWindow
f568,BinaryExpression:offsetWidth
f569,CallExpression:ellipse
f570,Literal:querySelector
f571,ReturnStatement:shipping
f572,FunctionDeclaration:IN
f573,FunctionDeclaration:defaultView
f574,SwitchCase:performance
f575,SequenceExpression:results
f576,CallExpression:VideoPlaybackQuality
f577,Literal:oscpu
f578,Identifier:NotFoundError
f579,UnaryExpression:IDBRequest
f580,UpdateExpression:base
f581,Literal:removeProperty
f582,Property:balanced
f583,Literal:comparePoint
f584,BinaryExpression:GestureEvent
f585,FunctionExpression:releasePointerCapture
f586,MemberExpression:default
f587,FunctionExpression:points
f588,MemberExpression:azimuth
f589,SwitchCase:platform
f590,MemberExpression:pointerBeforeReferenceNode
f591,Literal:setPrototypeOf
f592,MemberExpression:privateKey
f593,IfStatement:src
f594,Identifier:getFloatTimeDomainData
f595,NewExpression:scope
f596,FunctionDeclaration:itemValue
f597,SwitchCase:showModal
f598,MemberExpression:pathSegList
f599,Literal:onbounce
f600,MemberExpression:createSampler
f601,LogicalExpression:digest
f602,MemberExpression:IDBDatabase
f603,Literal:stencilMask
f604,Literal:gl
f605,Property:availTop
f606,MethodDefinition:getStartTime
f607,FunctionExpression:oninput
f608,BinaryExpression:reconnect
f609,Literal:twist
f610,Literal:mimeType
f611,UnaryExpression:characteristic
f612,MemberExpression:modifiers
f613,Literal:Headers
f614,ReturnStatement:tabIndex
f615,Property:getDisplayMedia
f616,ArrayExpression:signal
f617,CallExpression:controllerchange
